url,product,price
https://www.pluginboutique.com/product/2-Effects/44-Saturation/3016-RC-20-Retro-ColorRC-20,RC-20 Retro Color,99.95
https://www.pluginboutique.com/product/2-Effects/39-FX-Bundle/9819-ShaperBox-3-Bundle?nosto=manufacturerpage-nosto-1,ShaperBox 3 Bundle,99.0
